timestamp,dominant_emotion,angry,disgust,fear,happy,sad,surprise,neutral,face_count
2026-08-31T12:06:15,neutral,1.1,0.0,0.04,0.03,6.61,0.0,92.23,1
2026-08-31T12:06:16,neutral,1.54,0.0,0.01,0.01,0.06,0.0,98.38,1
2026-08-31T12:06:17,neutral,0.29,0.0,0.0,0.22,0.47,0.0,99.02,1
2026-08-31T12:06:18,neutral,22.02,0.0,0.01,2.68,0.91,0.0,74.38,1
2026-08-31T12:06:20,happy,0.89,0.0,0.01,92.73,0.52,0.0,5.86,1
2026-08-31T12:06:21,sad,22.92,0.0,3.85,0.02,62.31,0.0,10.89,1
2026-08-31T12:06:22,sad,15.68,0.0,10.77,0.01,63.15,0.0,10.39,1
2026-08-31T12:06:23,sad,16.79,0.0,16.52,0.0,58.23,0.0,8.45,1
2026-08-31T12:06:25,neutral,9.98,0.0,0.42,0.0,2.72,0.0,86.88,1
2026-08-31T12:06:26,angry,69.71,0.0,0.05,0.0,1.83,0.0,28.41,1
2026-08-31T12:06:27,neutral,40.24,0.0,0.02,0.0,2.52,0.0,57.22,1
2026-08-31T12:06:28,neutral,2.38,0.0,0.0,0.0,0.44,0.0,97.18,1
2026-08-31T12:06:29,neutral,0.52,0.0,0.0,0.0,0.07,0.0,99.42,1
2026-08-31T12:06:30,neutral,2.27,0.0,0.14,0.0,1.22,0.01,96.36,1
2026-08-31T12:06:32,angry,48.07,0.0,1.86,0.0,10.92,0.01,39.15,1
2026-08-31T12:06:33,neutral,5.68,0.0,0.29,0.0,2.01,0.0,92.01,1
2026-08-31T12:06:34,neutral,13.04,0.0,0.45,0.0,3.47,0.0,83.04,1
2026-08-31T12:06:35,neutral,25.41,0.0,0.32,0.0,12.76,0.0,61.51,1
2026-08-31T12:06:36,sad,12.49,0.0,9.55,0.01,60.75,0.0,17.2,1
2026-08-31T12:06:37,sad,9.11,0.0,12.64,0.0,54.84,0.0,23.41,1
2026-08-31T12:06:39,neutral,2.83,0.0,0.04,0.19,13.32,0.0,83.63,1
2026-08-31T12:06:40,neutral,1.03,0.0,0.0,6.41,18.03,0.0,74.54,1
2026-08-31T12:06:41,happy,3.63,0.01,0.5,55.66,15.12,0.05,25.04,1
2026-08-31T12:06:42,neutral,0.6,0.0,0.2,22.41,6.19,0.03,70.57,1
2026-08-31T12:06:44,sad,3.92,0.0,0.81,34.8,49.44,0.03,10.99,1
2026-08-31T12:06:45,sad,23.91,0.02,2.61,19.38,51.01,0.03,3.04,1
2026-08-31T12:06:46,sad,6.34,0.0,9.68,1.27,71.95,0.0,10.76,1
2026-08-31T12:06:47,sad,6.44,0.0,9.33,0.02,52.32,0.0,31.9,1
2026-08-31T12:06:48,sad,14.18,0.0,4.54,18.45,42.4,0.0,20.42,1
2026-08-31T12:06:50,sad,6.14,0.0,8.75,0.04,51.02,0.0,34.04,1
2026-08-31T12:06:51,sad,4.59,0.0,9.98,0.0,73.52,0.0,11.91,1
2026-08-31T12:06:52,happy,0.02,0.0,0.0,99.3,0.25,0.0,0.43,1
2026-08-31T12:06:53,neutral,0.18,0.0,0.0,0.03,1.88,0.0,97.91,1
2026-08-31T12:06:55,sad,0.1,0.0,0.9,0.0,98.71,0.0,0.29,1
2026-08-31T12:06:56,neutral,43.89,0.0,0.23,0.18,3.57,0.0,52.13,1
2026-08-31T12:06:57,angry,48.8,0.0,2.36,1.23,25.18,0.0,22.43,1
2026-08-31T12:06:58,sad,15.67,0.0,7.04,0.01,48.27,0.0,29.01,1
2026-08-31T12:06:59,neutral,0.55,0.0,0.0,7.74,1.62,0.0,90.09,1
2026-08-31T12:07:00,neutral,0.43,0.0,0.01,9.89,24.36,0.0,65.31,1
2026-08-31T12:07:02,happy,3.72,0.0,0.02,50.35,0.66,0.0,45.25,1
2026-08-31T12:07:03,angry,41.86,0.0,0.31,32.72,2.05,0.02,23.03,1
2026-08-31T12:07:04,neutral,1.87,0.0,0.02,0.0,0.94,0.0,97.18,1
2026-08-31T12:07:05,neutral,16.08,0.0,0.01,2.6,0.68,0.0,80.63,1
2026-08-31T12:07:07,neutral,12.37,0.0,0.01,0.19,2.81,0.0,84.62,1
2026-08-31T12:07:08,neutral,14.42,0.0,0.04,0.06,5.05,0.0,80.42,1
2026-08-31T12:07:24,neutral,19.43,0.0,18.04,0.02,12.36,2.56,47.58,1
2026-08-31T12:07:46,neutral,0.38,0.0,0.26,0.02,2.2,0.07,97.07,1
2026-08-31T12:08:02,neutral,1.16,0.0,0.0,0.01,1.61,0.0,97.22,1
